# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 60K of event 'cycles'
# Event count (approx.): 722242491911
#
# Children      Self       Samples  Command          Shared Object     Symbol                                   
# ........  ........  ............  ...............  ................  .........................................
#
     0.00%     0.00%             0  fio              [unknown]         [k] 0x000000002504cfc0
     0.00%     0.00%             0  fio              [unknown]         [k] 0x000000000ffdbdbe
     0.00%     0.00%             0  fio              [unknown]         [.] 0x000000000f8e1eed
     0.00%     0.00%             0  fio              [unknown]         [.] 0x000000001dda4709
     0.00%     0.00%             0  fio              [unknown]         [.] 0x0000000025ba22b0
     0.00%     0.00%             0  fio              [unknown]         [k] 0x0000000036203ec4
     0.00%     0.00%             0  fio              [unknown]         [.] 0x000000002d589182
     0.00%     0.00%             0  fio              [unknown]         [k] 0x0000000012a6d38f
     0.00%     0.00%             0  fio              [unknown]         [.] 0x000000002c4ac623
     0.00%     0.00%             0  fio              [unknown]         [.] 0x00000000383944ad
     0.00%     0.00%             0  fio              [unknown]         [k] 0x0000000002747c70
     0.00%     0.00%             0  fio              [unknown]         [.] 0x000000000d2e4e62
     0.00%     0.00%             0  fio              [unknown]         [k] 0x0000000015f3b221
     0.00%     0.00%             0  fio              [unknown]         [.] 0x0000000010dcdf32
     0.00%     0.00%             0  fio              [unknown]         [.] 0x000000002dcaad00
     0.00%     0.00%             0  fio              [unknown]         [.] 0x000000000de759b5
     0.00%     0.00%             0  fio              [unknown]         [.] 0x00000000250365fa
     0.00%     0.00%             0  fio              [unknown]         [.] 0x0000000029cb5d27
     0.00%     0.00%             0  fio              [unknown]         [k] 0x0000000034092487
     0.00%     0.00%             0  fio              [unknown]         [k] 0x0000000001d85da7
     0.00%     0.00%             0  fio              [unknown]         [.] 0x0000000020f5a437
     0.00%     0.00%             1  fio              libc.so.6         [.] _IO_default_xsputn
     0.00%     0.00%             0  fio              [unknown]         [.] 0x0000000003288e67
     0.00%     0.00%             0  fio              [unknown]         [k] 0x0000000014b924d2
     0.00%     0.00%             0  fio              [unknown]         [k] 0x000000001a67bbfd
     0.00%     0.00%             0  fio              [unknown]         [k] 0x0000000038656f08
     0.00%     0.00%             0  fio              [unknown]         [.] 0x000000000e2c52fb
     0.00%     0.00%             0  fio              [unknown]         [k] 0x0000000030753513
     0.00%     0.00%             0  fio              [unknown]         [.] 0x00000000032a9748
     0.00%     0.00%             0  fio              [unknown]         [k] 0x000000000605bd78
     0.00%     0.00%             0  fio              [unknown]         [k] 0x0000000008682dea
     0.00%     0.00%             0  fio              [unknown]         [.] 0x000000001dddf2f2
     0.00%     0.00%             0  fio              [unknown]         [.] 0x000000002d2f7c14
     0.00%     0.00%             0  fio              [unknown]         [.] 0x00000000147562dd
     0.00%     0.00%             0  fio              [unknown]         [k] 0x000000002a7e134f
     0.00%     0.00%             0  fio              [unknown]         [k] 0x0000000038fba582
     0.00%     0.00%             0  fio              [unknown]         [.] 0x0000000026085642
     0.00%     0.00%             0  fio              [unknown]         [.] 0x0000000007ce5831
     0.00%     0.00%             0  fio              [unknown]         [k] 0x000000001370fb9b
     0.00%     0.00%             0  fio              [unknown]         [k] 0x0000000006baea92
     0.00%     0.00%             0  fio              [unknown]         [k] 0x00000000372ea9a3
     0.00%     0.00%             0  fio              [unknown]         [.] 0x000000001046a53a
     0.00%     0.00%             0  fio              [unknown]         [k] 0x00000000216f6e36
     0.00%     0.00%             0  fio              [unknown]         [k] 0x0000000036e6a8d0
     0.00%     0.00%             0  fio              [unknown]         [.] 0x000000001684b48b
     0.00%     0.00%             0  fio              [unknown]         [k] 0x0000000003713d2c
     0.00%     0.00%             0  fio              [unknown]         [k] 0x0000000027d56e2d
     0.00%     0.00%             0  fio              [unknown]         [.] 0x000000001cad3eac
     0.00%     0.00%             0  fio              [unknown]         [k] 0x0000000019380a7d
     0.00%     0.00%             0  fio              [unknown]         [k] 0x000000002edb96ef
     0.00%     0.00%             0  fio              [unknown]         [.] 0x0000000038cd3f9f
     0.00%     0.00%             0  fio              [unknown]         [.] 0x0000000002dd5490
     0.00%     0.00%             0  fio              [unknown]         [.] 0x000000000773133f
     0.00%     0.00%             0  fio              [unknown]         [.] 0x00000000208dac33
     0.00%     0.00%             0  fio              [unknown]         [k] 0x000000000738dd08
     0.00%     0.00%             0  fio              [unknown]         [k] 0x000000001be55f33
     0.00%     0.00%             0  fio              [unknown]         [k] 0x000000002fbf9a9b
     0.00%     0.00%             0  fio              [unknown]         [.] 0x000000000f438e92
     0.00%     0.00%             0  fio              [unknown]         [.] 0x000000003704cdfc
     0.00%     0.00%             0  fio              [unknown]         [.] 0x0000000011a5d82a
     0.00%     0.00%             0  fio              [unknown]         [k] 0x000000001e473a1b
     0.00%     0.00%             0  fio              [unknown]         [k] 0x0000000005b7a59e
     0.00%     0.00%             0  fio              [unknown]         [.] 0x000000001f097985
     0.00%     0.00%             0  fio              [unknown]         [k] 0x000055f9f7161c00
     0.00%     0.00%             0  fio              [unknown]         [.] 0x0000000000aa781b
     0.00%     0.00%             0  fio              [unknown]         [.] 0x000000002e13b2f3
     0.00%     0.00%             0  fio              [unknown]         [k] 0x0000000021704c9c
     0.00%     0.00%             0  fio              [unknown]         [k] 0x000000002c799899
     0.00%     0.00%             0  fio              [unknown]         [.] 0x00000000387e9c1e
     0.00%     0.00%             0  fio              [unknown]         [k] 0x0000000039fded1e
     0.00%     0.00%             0  fio              [unknown]         [.] 0x0000000007078511
     0.00%     0.00%             0  fio              [unknown]         [.] 0x00000000013d99ce
     0.00%     0.00%             0  fio              [unknown]         [.] 0x0000000016b84f21
     0.00%     0.00%             0  fio              [unknown]         [.] 0x000000001918b8f2
     0.00%     0.00%             0  fio              [unknown]         [.] 0x0000000013d39cc3
     0.00%     0.00%             0  fio              [unknown]         [.] 0x0000000014a27849
     0.00%     0.00%             0  fio              [unknown]         [.] 0x0000000039478c56
     0.00%     0.00%             0  fio              [unknown]         [.] 0x000000002a36fca6
     0.00%     0.00%             0  fio              [unknown]         [.] 0x00000000147225a1
     0.00%     0.00%             0  fio              [unknown]         [.] 0x000000002503935e
     0.00%     0.00%             0  fio              [unknown]         [.] 0x000000001ec224ba
     0.00%     0.00%             0  fio              [unknown]         [k] 0x0000000012d76860
     0.00%     0.00%             0  fio              [unknown]         [k] 0x000000002af6ef44
     0.00%     0.00%             0  fio              [unknown]         [.] 0x000000002b5fa869
     0.00%     0.00%             0  fio              [unknown]         [.] 0x0000000011f084c9
     0.00%     0.00%             0  fio              [unknown]         [k] 0x000000001b2f8f62
     0.00%     0.00%             0  fio              [unknown]         [.] 0x0000000025219128
     0.00%     0.00%             0  fio              [unknown]         [k] 0x00000000339ab0c6
     0.00%     0.00%             0  fio              [unknown]         [.] 0x0000000023d36e39
     0.00%     0.00%             0  fio              [unknown]         [k] 0x000000000b3632f5
     0.00%     0.00%             0  fio              [unknown]         [.] 0x000000001b4c93d5
     0.00%     0.00%             0  fio              [unknown]         [k] 0x000000000734d857
     0.00%     0.00%             0  fio              [unknown]         [k] 0x00000000269f9871
     0.00%     0.00%             0  fio              [unknown]         [k] 0x000000001e8fb1db
     0.00%     0.00%             0  fio              [unknown]         [.] 0x000000001b9a24c9
     0.00%     0.00%             0  fio              [unknown]         [.] 0x000000002488548b
     0.00%     0.00%             0  fio              [unknown]         [.] 0x000000003818d3dd
     0.00%     0.00%             0  fio              [unknown]         [.] 0x00000000123d6e23
     0.00%     0.00%             0  fio              [unknown]         [.] 0x000000001bc32ebd
     0.00%     0.00%             0  fio              [unknown]         [k] 0x0000000020a90cd3
     0.00%     0.00%             0  fio              [unknown]         [k] 0x0000000024d6f585
     0.00%     0.00%             0  fio              [unknown]         [.] 0x00000000091d397f
     0.00%     0.00%             0  fio              [unknown]         [.] 0x000000001322cb8a
     0.00%     0.00%             0  fio              [unknown]         [.] 0x0000000025be9ac8
     0.00%     0.00%             0  fio              [unknown]         [.] 0x0000000034a22c6e
     0.00%     0.00%             0  fio              [unknown]         [.] 0x000000000f0f6419
     0.00%     0.00%             0  fio              [unknown]         [.] 0x0000000022a3dce9
     0.00%     0.00%             0  fio              [unknown]         [.] 0x000000003a7a2d8d
     0.00%     0.00%             0  fio              [unknown]         [.] 0x0000000032d54a2c
     0.00%     0.00%             0  fio              [unknown]         [k] 0x0000000009e536be
     0.00%     0.00%             0  fio              [unknown]         [.] 0x000000003352f7e4
     0.00%     0.00%             0  fio              [unknown]         [.] 0x000000000ffdef40
     0.00%     0.00%             0  fio              [unknown]         [k] 0x000000001f2be42a
     0.00%     0.00%             0  fio              [unknown]         [k] 0x0000000039b1685c
     0.00%     0.00%             0  fio              [unknown]         [.] 0x00000000203e869f
     0.00%     0.00%             0  fio              [unknown]         [k] 0x000000000b1601f5
     0.00%     0.00%             0  fio              [unknown]         [k] 0x0000000031a6282c
     0.00%     0.00%             0  fio              [unknown]         [.] 0x000000001919b5e4
     0.00%     0.00%             0  fio              [unknown]         [.] 0x00000000328ad7d1
     0.00%     0.00%             0  fio              [unknown]         [.] 0x0000000011f2f2e0
     0.00%     0.00%             0  fio              [unknown]         [.] 0x00000000321ec7d3
     0.00%     0.00%             0  fio              [unknown]         [.] 0x0000000029e167eb
     0.00%     0.00%             0  fio              [unknown]         [.] 0x00000000311234e7
     0.00%     0.00%             0  fio              [unknown]         [k] 0x000000002172e8b0
     0.00%     0.00%             0  fio              [unknown]         [k] 0x000000002f44543a
     0.00%     0.00%             0  fio              [unknown]         [.] 0x000000002e3bf796
     0.00%     0.00%             0  fio              [unknown]         [.] 0x000000000bfc204d
     0.00%     0.00%             0  fio              [unknown]         [.] 0x0000000012f8c21d
     0.00%     0.00%             0  fio              [unknown]         [.] 0x000000002b684767
     0.00%     0.00%             0  fio              [unknown]         [.] 0x00000000013fc2fd
     0.00%     0.00%             0  fio              [unknown]         [k] 0x000000002fe08e7f
     0.00%     0.00%             0  fio              [unknown]         [k] 0x000000001373b22c
     0.00%     0.00%             0  fio              [unknown]         [.] 0x0000000004ed9e6d
     0.00%     0.00%             0  fio              [unknown]         [k] 0x00000000081da1fb
     0.00%     0.00%             0  fio              [unknown]         [k] 0x00000000323dc5f2
     0.00%     0.00%             0  fio              [unknown]         [k] 0x0000000001aa66d3
     0.00%     0.00%             0  fio              [unknown]         [.] 0x0000000011f223de
     0.00%     0.00%             0  fio              [unknown]         [.] 0x000000001aafbd02
     0.00%     0.00%             0  fio              [unknown]         [k] 0x0000000022291ebd
     0.00%     0.00%             0  fio              [unknown]         [.] 0x000000001d921308
     0.00%     0.00%             0  fio              [unknown]         [k] 0x000000002e402b72
     0.00%     0.00%             0  fio              [unknown]         [k] 0x0000000031a599e8
     0.00%     0.00%             0  fio              [unknown]         [.] 0x000000001a4ae769
     0.00%     0.00%             0  fio              [unknown]         [.] 0x00000000281e6b2a
     0.00%     0.00%             0  fio              [unknown]         [k] 0x000000001da0fed0
     0.00%     0.00%             0  fio              [unknown]         [.] 0x0000000031f3da29
     0.00%     0.00%             0  fio              [unknown]         [k] 0x0000000024ba0f32
     0.00%     0.00%             0  fio              [unknown]         [.] 0x000000001cacabc2
     0.00%     0.00%             0  fio              [unknown]         [.] 0x0000000010bfabef
     0.00%     0.00%             0  fio              [unknown]         [k] 0x000000002e8c947a
     0.00%     0.00%             0  fio              [unknown]         [.] 0x00000000115563b1
     0.00%     0.00%             0  fio              [unknown]         [k] 0x000000003074b805
     0.00%     0.00%             0  fio              [unknown]         [k] 0x0000000002716f8e
     0.00%     0.00%             0  fio              [unknown]         [k] 0x000000002d5aa922
     0.00%     0.00%             0  fio              [unknown]         [.] 0x0000000012a730b5
     0.00%     0.00%             0  fio              [unknown]         [.] 0x000000001e933789
     0.00%     0.00%             0  fio              [unknown]         [.] 0x000000003703851a
     0.00%     0.00%             0  fio              [unknown]         [k] 0x000000002c2bc314
     0.00%     0.00%             0  fio              [unknown]         [k] 0x0000000027b418a8
     0.00%     0.00%             0  fio              [unknown]         [k] 0x000000002dc86710
     0.00%     0.00%             0  fio              [unknown]         [k] 0x000000000901bbdb
     0.00%     0.00%             0  fio              [unknown]         [k] 0x00000000336cdbcb
     0.00%     0.00%             0  fio              [unknown]         [k] 0x00000000394ab884
     0.00%     0.00%             0  fio              [unknown]         [.] 0x00000000002e27ab
     0.00%     0.00%             0  fio              [unknown]         [k] 0x000000000d46cf1c
     0.00%     0.00%             0  fio              [unknown]         [k] 0x000000000fdad022
     0.00%     0.00%             0  fio              [unknown]         [.] 0x0000000023d47067
     0.00%     0.00%             0  fio              [unknown]         [.] 0x00000000241f27a1
     0.00%     0.00%             0  fio              [unknown]         [k] 0x0000000039b2efb8
     0.00%     0.00%             0  fio              [unknown]         [.] 0x00000000138b50a6
     0.00%     0.00%             0  fio              [unknown]         [.] 0x000000002d5c5d0f
     0.00%     0.00%             0  fio              [unknown]         [.] 0x000000002c2a12b2
     0.00%     0.00%             0  fio              [unknown]         [.] 0x000000000ec2a9f2
     0.00%     0.00%             0  fio              [unknown]         [k] 0x000000000ca9a6d7
     0.00%     0.00%             0  fio              [unknown]         [.] 0x0000000023a0cc66
     0.00%     0.00%             0  fio              [unknown]         [.] 0x0000000008b56e49
     0.00%     0.00%             0  fio              [unknown]         [.] 0x000000000f64805d
     0.00%     0.00%             0  fio              [unknown]         [k] 0x0000000003a4b281
     0.00%     0.00%             0  fio              [unknown]         [.] 0x000055f9f715d380
     0.00%     0.00%             0  fio              [unknown]         [.] 0x0000000033064194
     0.00%     0.00%             0  fio              [unknown]         [.] 0x00000000014096b2
     0.00%     0.00%             0  fio              [unknown]         [.] 0x0000000022549c19
     0.00%     0.00%             0  fio              [unknown]         [.] 0x0000000017e7d3f5
     0.00%     0.00%             0  fio              [unknown]         [k] 0x000000002ef7f98f
     0.00%     0.00%             0  fio              [unknown]         [.] 0x00000000385ed07e
     0.00%     0.00%             0  fio              [unknown]         [k] 0x000055f9f7163000
     0.00%     0.00%             0  fio              [unknown]         [k] 0x000000001044e949
     0.00%     0.00%             0  fio              [unknown]         [k] 0x000000001834c964
     0.00%     0.00%             0  fio              [unknown]         [.] 0x000000000160689b
     0.00%     0.00%             0  fio              [unknown]         [.] 0x0000000033bc1796
     0.00%     0.00%             0  fio              [unknown]         [.] 0x000000001f308519
     0.00%     0.00%             0  fio              [unknown]         [.] 0x000000001f0e2f06
     0.00%     0.00%             0  fio              [unknown]         [k] 0x000000002afa8d3f
     0.00%     0.00%             0  fio              [unknown]         [k] 0x0000000036e5496e
     0.00%     0.00%             0  fio              [unknown]         [.] 0x000000002ef8ca95
     0.00%     0.00%             0  fio              [unknown]         [.] 0x0000000039499f59
     0.00%     0.00%             0  fio              [unknown]         [.] 0x000000001b7cc396
     0.00%     0.00%             0  fio              [unknown]         [k] 0x000000002441ca7c
     0.00%     0.00%             0  fio              [unknown]         [.] 0x000000001687188e
     0.00%     0.00%             0  fio              [unknown]         [.] 0x000000003221f65e
     0.00%     0.00%             0  fio              [unknown]         [.] 0x000000003a76118a
     0.00%     0.00%             0  fio              [unknown]         [.] 0x00000000120e01e7
     0.00%     0.00%             0  fio              [unknown]         [k] 0x000000002e8d7cca
     0.00%     0.00%             0  fio              [unknown]         [k] 0x000000001b8b8beb
     0.00%     0.00%             0  fio              [unknown]         [.] 0x000000002d7e7d13
     0.00%     0.00%             0  fio              [unknown]         [k] 0x0000000013d478f6
     0.00%     0.00%             0  fio              [unknown]         [.] 0x00000000065268d4
     0.00%     0.00%             0  fio              [unknown]         [k] 0x000000003059c18a
     0.00%     0.00%             0  fio              [unknown]         [k] 0x000000000ec6cca7
     0.00%     0.00%             0  fio              [unknown]         [.] 0x0000000016b648ee
     0.00%     0.00%             0  fio              [unknown]         [.] 0x00000000069a92ea
     0.00%     0.00%             0  fio              [unknown]         [k] 0x000000003453ff5b
     0.00%     0.00%             0  fio              [unknown]         [.] 0x000000000d761955
     0.00%     0.00%             0  fio              [unknown]         [k] 0x0000000008b39b21
     0.00%     0.00%             0  fio              [unknown]         [k] 0x0000000018e976a6
     0.00%     0.00%             0  fio              [unknown]         [.] 0x000000001db08301
     0.00%     0.00%             0  fio              [unknown]         [.] 0x000000001a4ba31b
     0.00%     0.00%             0  fio              [unknown]         [k] 0x0000000006bc691a
     0.00%     0.00%             0  fio              [unknown]         [.] 0x000000001d180e97
     0.00%     0.00%             0  fio              [unknown]         [.] 0x0000000020a41af3
     0.00%     0.00%             0  fio              [unknown]         [k] 0x0000000022737816
     0.00%     0.00%             0  fio              [unknown]         [.] 0x00000000125af2b0
     0.00%     0.00%             0  fio              [unknown]         [k] 0x000000001a950258
     0.00%     0.00%             0  fio              [unknown]         [.] 0x00000000248ab390
     0.00%     0.00%             0  fio              [unknown]         [.] 0x0000000000c6c487
     0.00%     0.00%             0  fio              [unknown]         [k] 0x0000000002be1673
     0.00%     0.00%             0  fio              [unknown]         [.] 0x000000002e8ea02e
     0.00%     0.00%             0  fio              [unknown]         [.] 0x000000001158844f
     0.00%     0.00%             0  fio              [unknown]         [k] 0x0000000018560edb
     0.00%     0.00%             0  fio              [unknown]         [.] 0x00000000250572e1
     0.00%     0.00%             0  fio              [unknown]         [k] 0x000000003b7fcdbc
     0.00%     0.00%             0  fio              [unknown]         [.] 0x000000000e2f3b4d
     0.00%     0.00%             0  fio              [unknown]         [.] 0x00000000032cdc43
     0.00%     0.00%             0  fio              [unknown]         [k] 0x00000000091eed75
     0.00%     0.00%             0  fio              [unknown]         [.] 0x0000000011f19d8c
     0.00%     0.00%             0  fio              [unknown]         [k] 0x000000001455e28a
     0.00%     0.00%             0  fio              [unknown]         [k] 0x000000002634d472
     0.00%     0.00%             0  fio              [unknown]         [.] 0x00000000069da234
     0.00%     0.00%             0  fio              [unknown]         [.] 0x000000000aebfddd
     0.00%     0.00%             0  fio              [unknown]         [.] 0x000000001a18b35d
     0.00%     0.00%             0  fio              [unknown]         [k] 0x0000000038d1d125
     0.00%     0.00%             0  fio              [unknown]         [k] 0x0000000039e0062e
     0.00%     0.00%             0  fio              [unknown]         [.] 0x000000000142ab05
     0.00%     0.00%             0  fio              [unknown]         [.] 0x000000001c0e018d
     0.00%     0.00%             0  fio              [unknown]         [.] 0x000000003b1344e9
     0.00%     0.00%             0  fio              [unknown]         [.] 0x000000002da8d40e
     0.00%     0.00%             0  fio              [unknown]         [.] 0x0000000000a8f9e4
     0.00%     0.00%             0  fio              [unknown]         [.] 0x00000000048a41c5
     0.00%     0.00%             0  fio              [unknown]         [.] 0x000000000dc19b8e
     0.00%     0.00%             0  fio              [unknown]         [k] 0x000000001b03e0b9
     0.00%     0.00%             0  fio              [unknown]         [k] 0x0000000024d4ed88
     0.00%     0.00%             0  fio              [unknown]         [.] 0x0000000021731db3
     0.00%     0.00%             0  fio              [unknown]         [.] 0x000000002f45619e
     0.00%     0.00%             0  fio              [unknown]         [k] 0x00000000381674cd
     0.00%     0.00%             0  fio              [unknown]         [.] 0x000000000b346ca1
     0.00%     0.00%             0  fio              [unknown]         [k] 0x000000001afedd21
     0.00%     0.00%             0  fio              [unknown]         [k] 0x00000000246cfa19
     0.00%     0.00%             0  fio              [unknown]         [.] 0x000000000756c18d
     0.00%     0.00%             0  fio              [unknown]         [.] 0x0000000006a0a9ab
     0.00%     0.00%             0  fio              [unknown]         [.] 0x00000000248b9003
     0.00%     0.00%             0  fio              [unknown]         [k] 0x000000002dca6b8f
     0.00%     0.00%             0  fio              [unknown]         [.] 0x000000002f45444c
     0.00%     0.00%             0  fio              [unknown]         [.] 0x0000000035854258
     0.00%     0.00%             0  fio              [unknown]         [.] 0x0000000033c13a0e
     0.00%     0.00%             0  fio              [unknown]         [k] 0x00000000064d689f
     0.00%     0.00%             0  fio              [unknown]         [.] 0x0000000024d65108
     0.00%     0.00%             0  fio              [unknown]         [.] 0x000000001d662e58
     0.00%     0.00%             0  fio              [unknown]         [.] 0x0000000030ec752b
     0.00%     0.00%             0  fio              [unknown]         [.] 0x000000001702a1a5
     0.00%     0.00%             0  fio              [unknown]         [k] 0x000000002a7a8b68
     0.00%     0.00%             0  fio              [unknown]         [.] 0x00000000256a5798
     0.00%     0.00%             0  fio              [unknown]         [.] 0x0000000001f8aec7
     0.00%     0.00%             0  fio              [unknown]         [k] 0x00000000229e5863
     0.00%     0.00%             0  fio              [unknown]         [k] 0x0000000039fec19d
     0.00%     0.00%             0  fio              [unknown]         [k] 0x0000000012ac1545
     0.00%     0.00%             0  fio              [unknown]         [k] 0x0000000000a89fd7
     0.00%     0.00%             0  fio              [unknown]         [.] 0x00000000248ad29a
     0.00%     0.00%             0  fio              [unknown]         [k] 0x0000000028683b8e
     0.00%     0.00%             0  fio              [unknown]         [.] 0x000000001177cb1e
     0.00%     0.00%             0  fio              [unknown]         [.] 0x000000001cce221a
     0.00%     0.00%             0  fio              [unknown]         [.] 0x000000001d46f064
     0.00%     0.00%             0  fio              [unknown]         [.] 0x0000000038ce2dfd
     0.00%     0.00%             0  fio              [unknown]         [.] 0x00000000246d058d
     0.00%     0.00%             0  fio              [unknown]         [k] 0x0000000025031481
     0.00%     0.00%             0  fio              [unknown]         [.] 0x0000000010242e99
     0.00%     0.00%             0  fio              [unknown]         [k] 0x0000000015a3c962
     0.00%     0.00%             0  fio              [unknown]         [.] 0x000000002999769e
     0.00%     0.00%             0  fio              [unknown]         [.] 0x0000000012d547f4
     0.00%     0.00%             0  fio              [unknown]         [k] 0x000000001be4e6e6
     0.00%     0.00%             0  fio              [unknown]         [k] 0x000000000ea9dbaa
     0.00%     0.00%             0  fio              [unknown]         [k] 0x000000001963f93f
     0.00%     0.00%             0  fio              [unknown]         [.] 0x0000000017e81cfa
     0.00%     0.00%             0  fio              [unknown]         [.] 0x000000001c750e5d
     0.00%     0.00%             0  fio              [unknown]         [k] 0x000000002c2d7c90
     0.00%     0.00%             0  fio              [unknown]         [.] 0x000000000b33657b
     0.00%     0.00%             0  fio              [unknown]         [.] 0x000000000f5b828d
     0.00%     0.00%             0  fio              [unknown]         [k] 0x00000000150c47c3
     0.00%     0.00%             0  fio              [unknown]         [k] 0x000000002a7f9681
     0.00%     0.00%             0  fio              [unknown]         [.] 0x00000000328c4d5b
     0.00%     0.00%             0  fio              [unknown]         [k] 0x00000000091d4c1b
     0.00%     0.00%             0  fio              [unknown]         [.] 0x00000000252618ff
     0.00%     0.00%             0  fio              [unknown]         [k] 0x000000000b358b69
     0.00%     0.00%             0  fio              [unknown]         [.] 0x0000000016867d9a
     0.00%     0.00%             0  fio              [unknown]         [.] 0x000000002a83ee2c
     0.00%     0.00%             0  fio              [unknown]         [.] 0x000000001688890d
     0.00%     0.00%             0  fio              [unknown]         [.] 0x0000000026321cb9
     0.00%     0.00%             0  fio              [unknown]         [k] 0x0000000009b63729
     0.00%     0.00%             0  fio              [unknown]         [k] 0x000000003a4ea186
     0.00%     0.00%             0  fio              [unknown]         [.] 0x000000001075104a
     0.00%     0.00%             0  fio              [unknown]         [k] 0x0000000013230043
     0.00%     0.00%             0  fio              [unknown]         [.] 0x0000000006bca8a1
     0.00%     0.00%             0  fio              [unknown]         [k] 0x000000001cac5fc0
     0.00%     0.00%             0  fio              [unknown]         [.] 0x000000001dc7304e
     0.00%     0.00%             0  fio              [unknown]         [k] 0x000000001322ed57
     0.00%     0.00%             0  fio              [unknown]         [k] 0x000000001936c0b7
     0.00%     0.00%             0  fio              [unknown]         [.] 0x00000000220b8683
     0.00%     0.00%             0  fio              [unknown]         [k] 0x000000001a487cf7
     0.00%     0.00%             0  fio              [unknown]         [.] 0x000000001f0a5388
     0.00%     0.00%             0  fio              [unknown]         [k] 0x000000000512ae4b
     0.00%     0.00%             0  fio              [unknown]         [k] 0x000000001ae47fd7
     0.00%     0.00%             0  fio              [unknown]         [.] 0x00000000056f80af
     0.00%     0.00%             0  fio              [unknown]         [k] 0x0000000007cebb66
     0.00%     0.00%             1  perf             [kernel.vmlinux]  [k] _raw_spin_trylock
     0.00%     0.00%             0  fio              [unknown]         [.] 0x00000000255222ad
     0.00%     0.00%             0  fio              [unknown]         [.] 0x0000000026a01b25
     0.00%     0.00%             0  fio              [unknown]         [.] 0x0000000036fe3bbc
     0.00%     0.00%             0  fio              [unknown]         [.] 0x00000000163a48a9
     0.00%     0.00%             0  fio              [unknown]         [k] 0x000000003567e20d
     0.00%     0.00%             0  fio              [unknown]         [.] 0x000000002af9ac06
     0.00%     0.00%             0  fio              [unknown]         [k] 0x000000000acbb4d3
     0.00%     0.00%             0  fio              [unknown]         [.] 0x0000000016d875d2
     0.00%     0.00%             0  fio              [unknown]         [.] 0x000000003ac81889
     0.00%     0.00%             0  fio              [unknown]         [.] 0x0000000025bbcb94
     0.00%     0.00%             0  fio              [unknown]         [.] 0x0000000007ed3699
     0.00%     0.00%             0  fio              [unknown]         [.] 0x00000000336fe43a
     0.00%     0.00%             1  perf             [kernel.vmlinux]  [k] _raw_spin_lock
     0.00%     0.00%             0  fio              [unknown]         [k] 0x000000001fc5182f
     0.00%     0.00%             0  fio              [unknown]         [.] 0x00000000361e5d55
     0.00%     0.00%             0  fio              [unknown]         [k] 0x0000000026036c61
     0.00%     0.00%             0  fio              [unknown]         [.] 0x0000000000c5792b
     0.00%     0.00%             0  fio              [unknown]         [.] 0x000000000c4287e0
     0.00%     0.00%             0  fio              [unknown]         [.] 0x00000000307681b6
     0.00%     0.00%             0  fio              [unknown]         [k] 0x000000000e7dc39b
     0.00%     0.00%             0  fio              [unknown]         [k] 0x0000000000a54e02
     0.00%     0.00%             0  fio              [unknown]         [.] 0x000000001b02013f
     0.00%     0.00%             0  fio              [unknown]         [.] 0x000000001a47cfbd
     0.00%     0.00%             0  fio              [unknown]         [.] 0x00000000256f3a9a
     0.00%     0.00%             0  fio              [unknown]         [.] 0x0000000022244ede
     0.00%     0.00%             0  fio              [unknown]         [k] 0x000000000a9ab725
     0.00%     0.00%             0  fio              [unknown]         [.] 0x000000001e4bcbe8
     0.00%     0.00%             0  fio              [unknown]         [k] 0x0000000026e6b162
     0.00%     0.00%             0  fio              [unknown]         [k] 0x0000000021731d0f
     0.00%     0.00%             0  fio              [unknown]         [.] 0x00000000280100b0
     0.00%     0.00%             0  fio              [unknown]         [.] 0x00000000299c0a23
     0.00%     0.00%             0  fio              [unknown]         [k] 0x000000000707ecd1
     0.00%     0.00%             0  fio              [unknown]         [.] 0x000000001f2c8a41
     0.00%     0.00%             0  fio              [unknown]         [.] 0x000000000a504674
     0.00%     0.00%             0  fio              [unknown]         [.] 0x000000003458ea76
     0.00%     0.00%             0  fio              [unknown]         [k] 0x000000001c141df2
     0.00%     0.00%             0  fio              [unknown]         [.] 0x000000002820fa6c
     0.00%     0.00%             0  fio              [unknown]         [.] 0x00000000149ed794
     0.00%     0.00%             0  fio              [unknown]         [k] 0x0000000006ebba38
     0.00%     0.00%             0  fio              [unknown]         [k] 0x0000000029e8183e
     0.00%     0.00%             0  fio              [unknown]         [.] 0x000000002dcb3c14
     0.00%     0.00%             0  fio              [unknown]         [.] 0x000000001424b2bd
     0.00%     0.00%             0  fio              [unknown]         [.] 0x0000000007f20e09
     0.00%     0.00%             0  fio              [unknown]         [.] 0x000000000ae873ec
     0.00%     0.00%             0  fio              [unknown]         [k] 0x0000000013406a39
     0.00%     0.00%             0  fio              [unknown]         [.] 0x000000003458df61
     0.00%     0.00%             0  fio              [unknown]         [.] 0x000000000ae79e12
     0.00%     0.00%             0  fio              [unknown]         [.] 0x000000003969e59c
     0.00%     0.00%             0  fio              [unknown]         [.] 0x000000003b7b8f1e
     0.00%     0.00%             0  fio              [unknown]         [.] 0x000000002d5b6cf6
     0.00%     0.00%             0  fio              [unknown]         [.] 0x00000000321d72e1
     0.00%     0.00%             0  fio              [unknown]         [.] 0x00000000117b1aa1
