# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 60K of event 'cycles'
# Event count (approx.): 722242491911
#
# Children      Self       Samples  Command          Shared Object     Symbol                                   
# ........  ........  ............  ...............  ................  .........................................
#
     3.11%     0.00%             0  fio              [unknown]         [.] 0x000055f9f7157970
     3.11%     0.00%             0  fio              [unknown]         [.] 0x000055f9f71579e0
     3.11%     0.00%             0  fio              [unknown]         [.] 0x000055f9f7157a50
     3.11%     0.00%             0  fio              [unknown]         [.] 0x000055f9f7157ac0
     3.11%     0.00%             0  fio              [unknown]         [.] 0x000055f9f7157b30
     3.11%     0.00%             0  fio              [unknown]         [.] 0x000055f9f7157ba0
     3.11%     0.00%             0  fio              [unknown]         [.] 0x00007fabad0e4160
     3.10%     0.00%             0  fio              [unknown]         [k] 0x000055f9f7158ce0
     3.10%     0.00%             0  fio              [unknown]         [k] 0x000055f9f7158d50
     3.10%     0.00%             0  fio              [unknown]         [k] 0x000055f9f7158dc0
     3.10%     0.00%             0  fio              [unknown]         [k] 0x000055f9f7158e30
     3.10%     0.00%             0  fio              [unknown]         [k] 0x000055f9f7158ea0
     3.10%     0.00%             0  fio              [unknown]         [k] 0x000055f9f7158f10
     3.10%     0.00%             0  fio              [unknown]         [k] 0x000055f9f7158f80
     3.10%     0.00%             0  fio              [unknown]         [k] 0x000055f9f7158ff0
     3.10%     0.00%             0  fio              [unknown]         [k] 0x000055f9f7159060
     3.10%     0.00%             0  fio              [unknown]         [k] 0x00007fabad19ede0
     3.09%     0.00%             0  fio              [unknown]         [k] 0x000055f9f71556b0
     3.09%     0.00%             0  fio              [unknown]         [k] 0x000055f9f7155780
     3.09%     0.00%             0  fio              [unknown]         [k] 0x000055f9f71557d0
     3.09%     0.00%             0  fio              [unknown]         [k] 0x000055f9f7155840
     3.09%     0.00%             0  fio              [unknown]         [k] 0x000055f9f71558b0
     3.09%     0.00%             0  fio              [unknown]         [k] 0x000055f9f7155920
     3.09%     0.00%             0  fio              [unknown]         [k] 0x000055f9f71559b0
     3.09%     0.00%             0  fio              [unknown]         [k] 0x000055f9f7155a00
     3.09%     0.00%             0  fio              [unknown]         [k] 0x000055f9f7155a50
     3.09%     0.00%             0  fio              [unknown]         [k] 0x00007fabad058000
     3.09%     0.00%             0  fio              [unknown]         [k] 0x000055f9f7159c70
     3.09%     0.00%             0  fio              [unknown]         [k] 0x000055f9f7159ce0
     3.09%     0.00%             0  fio              [unknown]         [k] 0x000055f9f7159d50
     3.09%     0.00%             0  fio              [unknown]         [k] 0x000055f9f7159dc0
     3.09%     0.00%             0  fio              [unknown]         [k] 0x000055f9f7159e30
     3.09%     0.00%             0  fio              [unknown]         [k] 0x000055f9f7159ea0
     3.09%     0.00%             0  fio              [unknown]         [k] 0x000055f9f7159f10
     3.09%     0.00%             0  fio              [unknown]         [k] 0x000055f9f7159f80
     3.09%     0.00%             0  fio              [unknown]         [k] 0x000055f9f7159ff0
     3.09%     0.00%             0  fio              [unknown]         [k] 0x00007faba46e7640
     3.05%     0.00%             0  fio              [unknown]         [k] 0x000055f9f71572f0
     3.05%     0.00%             0  fio              [unknown]         [k] 0x000055f9f7157360
     3.05%     0.00%             0  fio              [unknown]         [k] 0x000055f9f71573d0
     3.05%     0.00%             0  fio              [unknown]         [k] 0x000055f9f7157440
     3.05%     0.00%             0  fio              [unknown]         [k] 0x000055f9f71574b0
     3.05%     0.00%             0  fio              [unknown]         [k] 0x000055f9f7157520
     3.05%     0.00%             0  fio              [unknown]         [k] 0x000055f9f7157590
     3.05%     0.00%             0  fio              [unknown]         [k] 0x000055f9f7157600
     3.05%     0.00%             0  fio              [unknown]         [k] 0x000055f9f7157670
     3.05%     0.00%             0  fio              [unknown]         [k] 0x00007fabad0b5640
     2.86%     0.09%            55  fio              [kernel.vmlinux]  [k] rw_verify_area
     2.84%     0.41%           246  fio              [kernel.vmlinux]  [k] blkdev_bio_end_io_async
     2.78%     0.25%           149  fio              [kernel.vmlinux]  [k] intel_iommu_map_pages
     2.74%     1.52%           919  fio              fio               [.] get_io_u
     2.66%     0.61%           366  fio              [kernel.vmlinux]  [k] bio_alloc_bioset
     2.63%     2.63%          1585  fio              [kernel.vmlinux]  [k] native_irq_return_iret
     2.58%     0.02%            12  fio              [kernel.vmlinux]  [k] iommu_unmap_fast
     2.58%     0.19%           113  fio              [kernel.vmlinux]  [k] security_file_permission
     2.43%     0.98%           588  fio              [kernel.vmlinux]  [k] __domain_mapping
     2.41%     0.22%           134  fio              [kernel.vmlinux]  [k] __iommu_unmap
     2.40%     2.05%          1237  fio              [kernel.vmlinux]  [k] pfn_to_dma_pte
     2.36%     0.04%            26  fio              [kernel.vmlinux]  [k] irqentry_exit
     2.31%     0.03%            16  fio              [kernel.vmlinux]  [k] irqentry_exit_to_user_mode
     2.25%     0.15%            93  fio              [kernel.vmlinux]  [k] __io_import_iovec
     2.25%     2.01%          1213  fio              [kernel.vmlinux]  [k] check_preemption_disabled
     2.05%     0.48%           289  fio              [kernel.vmlinux]  [k] intel_iommu_unmap_pages
     2.03%     0.55%           331  fio              [kernel.vmlinux]  [k] iommu_dma_free_iova
     1.98%     0.24%           145  fio              [kernel.vmlinux]  [k] __import_iovec
     1.95%     1.12%           677  fio              fio               [.] __fio_gettime
     1.89%     1.42%           859  fio              [kernel.vmlinux]  [k] read_tsc
     1.83%     0.54%           327  fio              [kernel.vmlinux]  [k] __this_cpu_preempt_check
     1.76%     1.43%           861  fio              [kernel.vmlinux]  [k] preempt_count_add
     1.76%     0.51%           306  fio              [kernel.vmlinux]  [k] __fsnotify_parent
     1.67%     0.24%           147  fio              [kernel.vmlinux]  [k] iommu_dma_alloc_iova
     1.65%     0.37%           224  fio              [kernel.vmlinux]  [k] __io_submit_flush_completions
     1.58%     0.16%            94  fio              [kernel.vmlinux]  [k] iovec_from_user.part.0
     1.58%     0.23%           140  fio              [kernel.vmlinux]  [k] blk_mq_get_tag
     1.50%     0.99%           599  fio              fio               [.] td_io_queue
     1.49%     0.14%            83  fio              [kernel.vmlinux]  [k] xa_find
     1.48%     0.07%            44  fio              [kernel.vmlinux]  [k] irq_chip_ack_parent
     1.43%     0.12%            71  fio              [kernel.vmlinux]  [k] io_complete_rw
     1.42%     0.93%           562  fio              [kernel.vmlinux]  [k] _raw_spin_lock
     1.37%     0.09%            54  fio              [kernel.vmlinux]  [k] bio_associate_blkg
     1.34%     1.20%           723  fio              [nvme]            [k] nvme_poll_cq
     1.33%     0.14%            84  fio              [kernel.vmlinux]  [k] bio_set_pages_dirty
     1.32%     0.32%           194  fio              [kernel.vmlinux]  [k] alloc_iova_fast
     1.32%     1.31%           793  fio              [kernel.vmlinux]  [k] native_apic_msr_eoi_write
     1.28%     0.15%            92  fio              [kernel.vmlinux]  [k] fsnotify_perm.part.0
     1.28%     1.01%           612  fio              [kernel.vmlinux]  [k] _raw_spin_lock_irqsave
     1.23%     0.07%            40  fio              [kernel.vmlinux]  [k] __blk_mq_get_tag
     1.22%     0.35%           210  fio              [kernel.vmlinux]  [k] blk_mq_rq_ctx_init.isra.0
     1.20%     0.26%           158  fio              [kernel.vmlinux]  [k] syscall_enter_from_user_mode
     1.18%     0.17%           102  fio              [kernel.vmlinux]  [k] domain_unmap
     1.18%     0.60%           360  fio              fio               [.] fio_uring_commit
     1.16%     0.03%            16  fio              [kernel.vmlinux]  [k] __sbitmap_queue_get
