# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 60K of event 'cycles'
# Event count (approx.): 721080396983
#
# Children      Self       Samples  Command  Shared Object     Symbol                                      
# ........  ........  ............  .......  ................  ............................................
#
     0.00%     0.00%             0  fio      [unknown]         [.] 0x0000000012e213e6
     0.00%     0.00%             0  fio      [unknown]         [.] 0x0000000005e97583
     0.00%     0.00%             0  fio      [unknown]         [k] 0x000000000d83f452
     0.00%     0.00%             0  fio      [unknown]         [.] 0x00000000303badef
     0.00%     0.00%             0  fio      [unknown]         [.] 0x000000001a2fdf76
     0.00%     0.00%             0  fio      [unknown]         [.] 0x0000000034b44039
     0.00%     0.00%             0  fio      [unknown]         [.] 0x00000000148577e4
     0.00%     0.00%             0  fio      [unknown]         [.] 0x000000001970fbfd
     0.00%     0.00%             0  fio      [unknown]         [.] 0x0000000030f718ee
     0.00%     0.00%             0  fio      [unknown]         [.] 0x000000000ca002b9
     0.00%     0.00%             0  fio      [unknown]         [.] 0x000000000ee4c414
     0.00%     0.00%             0  fio      [unknown]         [.] 0x000000002e4c8cd5
     0.00%     0.00%             0  fio      [unknown]         [.] 0x000000000a7efaee
     0.00%     0.00%             0  fio      [unknown]         [.] 0x0000000034b4c627
     0.00%     0.00%             0  fio      [unknown]         [k] 0x0000000013068c0b
     0.00%     0.00%             0  fio      [unknown]         [.] 0x000000000ca23754
     0.00%     0.00%             0  fio      [unknown]         [.] 0x0000000015d81e89
     0.00%     0.00%             0  fio      [unknown]         [.] 0x00000000268ca998
     0.00%     0.00%             0  fio      [unknown]         [.] 0x0000000036548b2c
     0.00%     0.00%             0  fio      [unknown]         [.] 0x000000001dc30c5a
     0.00%     0.00%             0  fio      [unknown]         [k] 0x0000000009a55ce2
     0.00%     0.00%             0  fio      [unknown]         [.] 0x00000000052c9776
     0.00%     0.00%             0  fio      [unknown]         [k] 0x0000000039530226
     0.00%     0.00%             0  fio      [unknown]         [.] 0x000000001a7c0474
     0.00%     0.00%             0  fio      [unknown]         [.] 0x000000001ea715d0
     0.00%     0.00%             0  fio      [unknown]         [.] 0x0000000002313c01
     0.00%     0.00%             0  fio      [unknown]         [.] 0x00000000386e9419
     0.00%     0.00%             0  fio      [unknown]         [.] 0x0000000001e27eb9
     0.00%     0.00%             0  fio      [unknown]         [.] 0x0000000022873c42
     0.00%     0.00%             0  fio      [unknown]         [k] 0x0000000014fa14e1
     0.00%     0.00%             0  fio      [unknown]         [.] 0x0000000018416b81
     0.00%     0.00%             0  fio      [unknown]         [.] 0x0000000009f1ce89
     0.00%     0.00%             0  fio      [unknown]         [.] 0x00000000280d725c
     0.00%     0.00%             0  fio      [unknown]         [.] 0x000000002c810bec
     0.00%     0.00%             0  fio      [unknown]         [k] 0x000000000c0601f5
     0.00%     0.00%             0  fio      [unknown]         [k] 0x00000000084c7e1b
     0.00%     0.00%             0  fio      [unknown]         [.] 0x0000000029dec504
     0.00%     0.00%             0  fio      [unknown]         [k] 0x000000000afa5c17
     0.00%     0.00%             0  fio      [unknown]         [.] 0x000000003a854d81
     0.00%     0.00%             0  fio      [unknown]         [.] 0x0000000025360182
     0.00%     0.00%             0  fio      [unknown]         [.] 0x0000000001030f5c
     0.00%     0.00%             0  fio      [unknown]         [.] 0x000000001483e020
     0.00%     0.00%             0  fio      [unknown]         [.] 0x00000000308974a6
     0.00%     0.00%             0  fio      [unknown]         [.] 0x000000001080c148
     0.00%     0.00%             0  fio      [unknown]         [.] 0x000000002f0b2cc2
     0.00%     0.00%             0  fio      [unknown]         [.] 0x000000000e1d4c0a
     0.00%     0.00%             0  fio      [unknown]         [.] 0x0000000019702e78
     0.00%     0.00%             0  fio      [unknown]         [.] 0x000000003847f34d
     0.00%     0.00%             0  fio      [unknown]         [k] 0x000000001949c87b
     0.00%     0.00%             0  fio      [unknown]         [.] 0x000000000d69ee34
     0.00%     0.00%             0  fio      [unknown]         [k] 0x000000002e005b82
     0.00%     0.00%             0  fio      [unknown]         [.] 0x0000000033f6c322
     0.00%     0.00%             0  fio      [unknown]         [k] 0x000000003a5dcbc1
     0.00%     0.00%             0  fio      [unknown]         [.] 0x000000000f73c574
     0.00%     0.00%             0  fio      [unknown]         [.] 0x000000001d5ed279
     0.00%     0.00%             0  fio      [unknown]         [.] 0x000000002617979e
     0.00%     0.00%             0  fio      [unknown]         [.] 0x0000000017a6b451
     0.00%     0.00%             0  fio      [unknown]         [k] 0x000000001a2e5cd0
     0.00%     0.00%             0  fio      [unknown]         [.] 0x0000000001209850
     0.00%     0.00%             0  fio      [unknown]         [.] 0x0000000006cf7071
     0.00%     0.00%             0  fio      [unknown]         [k] 0x0000000000d82b8a
     0.00%     0.00%             0  fio      [unknown]         [.] 0x000000000dd27ea5
     0.00%     0.00%             0  fio      [unknown]         [k] 0x00000000186514fd
     0.00%     0.00%             0  fio      [unknown]         [.] 0x00000000293d346d
     0.00%     0.00%             0  fio      [unknown]         [.] 0x000000002b9e4396
     0.00%     0.00%             0  fio      [unknown]         [k] 0x000000002b2c9996
     0.00%     0.00%             0  fio      [unknown]         [k] 0x00000000378c2af8
     0.00%     0.00%             0  fio      [unknown]         [.] 0x0000000005c44430
     0.00%     0.00%             0  fio      [unknown]         [.] 0x000000002e6d4d8d
     0.00%     0.00%             1  perf     [kernel.vmlinux]  [k] __switch_to_asm
     0.00%     0.00%             0  perf     libc.so.6         [.] __poll
     0.00%     0.00%             0  fio      [unknown]         [.] 0x0000000021a0d32a
     0.00%     0.00%             0  fio      [unknown]         [.] 0x00000000204cc535
     0.00%     0.00%             0  fio      [unknown]         [.] 0x000000001543b40c
     0.00%     0.00%             0  fio      [unknown]         [.] 0x0000000015dc3254
     0.00%     0.00%             0  fio      [unknown]         [.] 0x000000000255dea3
     0.00%     0.00%             0  fio      [unknown]         [.] 0x00000000095972de
     0.00%     0.00%             0  fio      [unknown]         [.] 0x0000000008292c86
     0.00%     0.00%             0  fio      [unknown]         [.] 0x000000000b944fc6
     0.00%     0.00%             0  fio      [unknown]         [k] 0x000000002535355c
     0.00%     0.00%             0  fio      [unknown]         [.] 0x000000002feb64ec
     0.00%     0.00%             0  fio      [unknown]         [k] 0x0000000002a444a4
     0.00%     0.00%             0  fio      [unknown]         [.] 0x000000003417c78b
     0.00%     0.00%             0  fio      [unknown]         [.] 0x00000000188a6b0b
     0.00%     0.00%             0  fio      [unknown]         [k] 0x00000000138e855e
     0.00%     0.00%             0  fio      [unknown]         [.] 0x000000001bac307e
     0.00%     0.00%             0  fio      [unknown]         [.] 0x0000000039ed434e
     0.00%     0.00%             0  fio      [unknown]         [.] 0x000000002b2cd786
     0.00%     0.00%             0  fio      [unknown]         [k] 0x0000000021caede3
     0.00%     0.00%             0  fio      [unknown]         [.] 0x0000000023b40d09
     0.00%     0.00%             0  fio      [unknown]         [.] 0x000000001592d148
     0.00%     0.00%             0  fio      [unknown]         [.] 0x00000000175adb19
     0.00%     0.00%             0  fio      [unknown]         [.] 0x0000000006b167c5
     0.00%     0.00%             0  fio      [unknown]         [.] 0x0000000025cca2bb
     0.00%     0.00%             0  fio      [unknown]         [.] 0x000000001992e147
     0.00%     0.00%             0  fio      [unknown]         [k] 0x0000000026dc1b9f
     0.00%     0.00%             0  fio      [unknown]         [.] 0x00000000274ced12
     0.00%     0.00%             0  fio      [unknown]         [.] 0x00000000223b1b55
     0.00%     0.00%             0  fio      [unknown]         [.] 0x00000000374014b3
     0.00%     0.00%             0  fio      [unknown]         [k] 0x000055f04d5d54c0
     0.00%     0.00%             0  fio      [unknown]         [.] 0x000000003313adce
     0.00%     0.00%             0  fio      [unknown]         [.] 0x000000000550556b
     0.00%     0.00%             0  fio      [unknown]         [.] 0x0000000038bdaba8
     0.00%     0.00%             0  fio      [unknown]         [k] 0x0000000032ebd51d
     0.00%     0.00%             0  fio      [unknown]         [.] 0x000000000207e203
     0.00%     0.00%             0  fio      [unknown]         [.] 0x0000000003873316
     0.00%     0.00%             0  fio      [unknown]         [.] 0x000055f04d5d7cc0
     0.00%     0.00%             0  fio      [unknown]         [.] 0x0000000000b447d8
     0.00%     0.00%             0  fio      [unknown]         [.] 0x00000000242d2328
     0.00%     0.00%             0  fio      [unknown]         [.] 0x00000000289e31a8
     0.00%     0.00%             0  fio      [unknown]         [.] 0x0000000033f6fc0d
     0.00%     0.00%             0  fio      [unknown]         [.] 0x000000000d3977d8
     0.00%     0.00%             0  fio      [unknown]         [k] 0x000000000256c579
     0.00%     0.00%             0  fio      [unknown]         [.] 0x00000000247277ca
     0.00%     0.00%             0  fio      [unknown]         [.] 0x000000003715af44
     0.00%     0.00%             0  fio      [unknown]         [k] 0x0000000016e8418d
     0.00%     0.00%             0  fio      [unknown]         [.] 0x000000002642474b
     0.00%     0.00%             0  fio      [unknown]         [.] 0x00000000268dac5a
     0.00%     0.00%             0  fio      [unknown]         [.] 0x0000000004e1e345
     0.00%     0.00%             0  fio      [unknown]         [.] 0x00000000065d3c71
     0.00%     0.00%             0  fio      [unknown]         [.] 0x0000000029adda5d
     0.00%     0.00%             0  fio      [unknown]         [.] 0x0000000010f30020
     0.00%     0.00%             0  fio      [unknown]         [k] 0x0000000024787f1c
     0.00%     0.00%             0  fio      [unknown]         [.] 0x00000000052d756d
     0.00%     0.00%             0  fio      [unknown]         [.] 0x000000001819e9e0
     0.00%     0.00%             0  fio      [unknown]         [.] 0x000000002dffa25d
     0.00%     0.00%             0  fio      [unknown]         [.] 0x000000002db4e4cb
     0.00%     0.00%             0  fio      [unknown]         [k] 0x000000000387d30f
     0.00%     0.00%             0  fio      [unknown]         [.] 0x0000000008712ef6
     0.00%     0.00%             0  fio      [unknown]         [k] 0x000000002a21075f
     0.00%     0.00%             0  fio      [unknown]         [.] 0x00000000173340e5
     0.00%     0.00%             0  fio      [unknown]         [k] 0x000055f04d5d5140
     0.00%     0.00%             0  fio      [unknown]         [.] 0x000000001fb2433c
     0.00%     0.00%             0  fio      [unknown]         [k] 0x0000000037887c22
     0.00%     0.00%             0  fio      [unknown]         [k] 0x000000001a0b2d00
     0.00%     0.00%             0  fio      [unknown]         [.] 0x00000000293de357
     0.00%     0.00%             0  fio      [unknown]         [.] 0x000000000ad5b589
     0.00%     0.00%             0  fio      [unknown]         [.] 0x000000000e68bbc2
     0.00%     0.00%             0  fio      [unknown]         [k] 0x000000000a865ce2
     0.00%     0.00%             0  fio      [unknown]         [.] 0x00000000142cd743
     0.00%     0.00%             0  fio      [unknown]         [.] 0x000000002a97c8b9
     0.00%     0.00%             0  fio      [unknown]         [.] 0x0000000034b35d26
     0.00%     0.00%             0  fio      [unknown]         [.] 0x000000002c0f5867
     0.00%     0.00%             0  fio      [unknown]         [k] 0x0000000036a7f40c
     0.00%     0.00%             0  fio      [unknown]         [.] 0x000000000e1f5236
     0.00%     0.00%             0  fio      [unknown]         [.] 0x000000001ffe6d1e
     0.00%     0.00%             0  fio      [unknown]         [k] 0x0000000007b3163d
     0.00%     0.00%             0  fio      [unknown]         [.] 0x000000001e0f4186
     0.00%     0.00%             0  fio      [unknown]         [.] 0x000000001a7b1f75
     0.00%     0.00%             0  fio      [unknown]         [.] 0x00000000329fe550
     0.00%     0.00%             0  fio      [unknown]         [.] 0x000000002663a097
     0.00%     0.00%             0  fio      [unknown]         [k] 0x0000000004ec5739
     0.00%     0.00%             0  fio      [unknown]         [k] 0x00000000169bd777
     0.00%     0.00%             0  fio      [unknown]         [k] 0x000000000260d1e3
     0.00%     0.00%             0  fio      [unknown]         [.] 0x0000000018149553
     0.00%     0.00%             0  fio      [unknown]         [k] 0x00000000365ab5f7
     0.00%     0.00%             0  fio      [unknown]         [.] 0x00000000084bf304
     0.00%     0.00%             0  fio      [unknown]         [.] 0x0000000009ca9e8a
     0.00%     0.00%             0  fio      [unknown]         [.] 0x000000001a79e3c5
     0.00%     0.00%             0  fio      [unknown]         [.] 0x000000001d00ce0e
     0.00%     0.00%             0  fio      [unknown]         [k] 0x0000000034b618e3
     0.00%     0.00%             0  fio      [unknown]         [.] 0x000000000a61b0e9
     0.00%     0.00%             0  fio      [unknown]         [.] 0x0000000015463f98
     0.00%     0.00%             0  fio      [unknown]         [.] 0x00000000121e0dab
     0.00%     0.00%             0  fio      [unknown]         [.] 0x0000000020e6667d
     0.00%     0.00%             0  fio      [unknown]         [.] 0x0000000010a65060
     0.00%     0.00%             0  fio      [unknown]         [.] 0x00000000245202dd
     0.00%     0.00%             0  fio      [unknown]         [.] 0x000000002ee665a9
     0.00%     0.00%             0  fio      [unknown]         [.] 0x0000000009c8e5e2
     0.00%     0.00%             0  fio      [unknown]         [.] 0x000000000f757bae
     0.00%     0.00%             0  fio      [unknown]         [.] 0x00000000206f8426
     0.00%     0.00%             0  fio      [unknown]         [k] 0x0000000030646712
     0.00%     0.00%             0  fio      [unknown]         [.] 0x000000000f73c413
     0.00%     0.00%             0  fio      [unknown]         [.] 0x0000000035e71879
     0.00%     0.00%             0  fio      [unknown]         [.] 0x0000000005e986c2
     0.00%     0.00%             0  fio      [unknown]         [.] 0x000000003b1fe4cd
     0.00%     0.00%             0  fio      [unknown]         [.] 0x0000000034b5f94e
     0.00%     0.00%             0  fio      [unknown]         [.] 0x000000000c2e27ef
     0.00%     0.00%             0  fio      [unknown]         [k] 0x000000002c0ea7bc
     0.00%     0.00%             0  fio      [unknown]         [k] 0x0000000033ce8772
     0.00%     0.00%             0  fio      [unknown]         [.] 0x00000000065f3a9e
     0.00%     0.00%             0  fio      [unknown]         [.] 0x000000000c4fb8a1
     0.00%     0.00%             0  fio      [unknown]         [k] 0x000000001949e07d
     0.00%     0.00%             0  fio      [unknown]         [.] 0x0000000021ef09f9
     0.00%     0.00%             0  fio      [unknown]         [.] 0x0000000009f05fc8
     0.00%     0.00%             0  fio      [unknown]         [k] 0x000000001bd33952
     0.00%     0.00%             0  fio      [unknown]         [.] 0x00000000303d6a28
     0.00%     0.00%             0  fio      [unknown]         [.] 0x000000000fe9c6bb
     0.00%     0.00%             0  fio      [unknown]         [.] 0x000000003af55d14
     0.00%     0.00%             0  fio      [unknown]         [.] 0x000000002b07dcba
     0.00%     0.00%             0  fio      [unknown]         [k] 0x000000002b772657
     0.00%     0.00%             0  fio      [unknown]         [.] 0x000000001d51abea
     0.00%     0.00%             0  fio      [unknown]         [.] 0x000000002c3895eb
     0.00%     0.00%             0  fio      [unknown]         [.] 0x000000001030c0db
     0.00%     0.00%             0  fio      [unknown]         [k] 0x000000001a7b50d0
     0.00%     0.00%             0  fio      [unknown]         [k] 0x0000000016e83fe3
     0.00%     0.00%             0  fio      [unknown]         [.] 0x0000000025aab324
     0.00%     0.00%             0  fio      [unknown]         [.] 0x0000000031e2a907
     0.00%     0.00%             0  fio      [unknown]         [.] 0x0000000000b36afe
     0.00%     0.00%             0  fio      [unknown]         [.] 0x00000000014f725b
     0.00%     0.00%             0  fio      [unknown]         [.] 0x000000001c6a4aaa
     0.00%     0.00%             0  fio      [unknown]         [.] 0x0000000036a53c53
     0.00%     0.00%             0  fio      [unknown]         [.] 0x000000000e4ed315
     0.00%     0.00%             0  fio      fio               [.] axmap_next_free
     0.00%     0.00%             0  fio      [unknown]         [.] 0x000000001ac60899
     0.00%     0.00%             0  fio      [unknown]         [.] 0x000000001c221531
     0.00%     0.00%             0  fio      [unknown]         [.] 0x000000003120e89b
     0.00%     0.00%             0  fio      [unknown]         [k] 0x0000000012229ca1
     0.00%     0.00%             0  fio      [unknown]         [k] 0x0000000039ebfa01
     0.00%     0.00%             0  fio      [unknown]         [k] 0x000000001a049965
     0.00%     0.00%             0  fio      [unknown]         [.] 0x000000001b3d259b
     0.00%     0.00%             0  fio      [unknown]         [k] 0x000000002c7f6ab3
     0.00%     0.00%             0  fio      [unknown]         [k] 0x0000000016e6ad51
     0.00%     0.00%             0  fio      [unknown]         [k] 0x0000000014f7ac1d
     0.00%     0.00%             0  fio      [unknown]         [k] 0x000000000ca03797
     0.00%     0.00%             0  fio      [unknown]         [.] 0x00000000044695d1
     0.00%     0.00%             0  fio      [unknown]         [k] 0x000000002a4642af
     0.00%     0.00%             0  fio      [unknown]         [.] 0x000000002e73f3e8
     0.00%     0.00%             0  fio      [unknown]         [k] 0x00000000359a786c
     0.00%     0.00%             0  fio      [unknown]         [.] 0x000000000448a634
     0.00%     0.00%             0  fio      [unknown]         [k] 0x000000001a2e663d
     0.00%     0.00%             0  fio      [unknown]         [.] 0x000000003b90b2fa
     0.00%     0.00%             0  fio      [unknown]         [.] 0x000000000e1f7b83
     0.00%     0.00%             0  fio      [unknown]         [k] 0x000000003717ac03
     0.00%     0.00%             0  fio      [unknown]         [.] 0x000000000a8bf5d0
     0.00%     0.00%             0  fio      [unknown]         [k] 0x000000002f324601
     0.00%     0.00%             0  fio      [unknown]         [k] 0x0000000030390afb
     0.00%     0.00%             0  fio      [unknown]         [.] 0x00000000118968ab
     0.00%     0.00%             0  fio      [unknown]         [.] 0x000000002a8e54bb
     0.00%     0.00%             0  fio      [unknown]         [.] 0x000000001ac89350
     0.00%     0.00%             0  fio      [unknown]         [k] 0x000000002131b403
     0.00%     0.00%             0  fio      [unknown]         [k] 0x000000000f4eac76
     0.00%     0.00%             0  fio      [unknown]         [k] 0x000000000f9d0fd0
     0.00%     0.00%             0  fio      [unknown]         [k] 0x0000000030af8008
     0.00%     0.00%             0  fio      [unknown]         [.] 0x00000000020a39f9
     0.00%     0.00%             0  fio      [unknown]         [.] 0x00000000107fda52
     0.00%     0.00%             0  fio      [unknown]         [k] 0x0000000022d21fe7
     0.00%     0.00%             0  fio      [unknown]         [.] 0x0000000032c0e6bf
     0.00%     0.00%             0  fio      [unknown]         [.] 0x000000000d86e4f3
     0.00%     0.00%             0  fio      [unknown]         [.] 0x00000000113dc507
     0.00%     0.00%             0  fio      [unknown]         [.] 0x00000000159cc1e1
     0.00%     0.00%             0  fio      [unknown]         [.] 0x000000003528262a
     0.00%     0.00%             0  fio      [unknown]         [.] 0x00000000059f8b4b
     0.00%     0.00%             0  fio      [unknown]         [.] 0x0000000008997b86
     0.00%     0.00%             0  fio      [unknown]         [.] 0x0000000010354022
     0.00%     0.00%             0  fio      [unknown]         [.] 0x0000000026b2eaf8
     0.00%     0.00%             0  fio      [unknown]         [.] 0x00000000169b20c0
     0.00%     0.00%             0  fio      [unknown]         [k] 0x000000001cdebfc0
     0.00%     0.00%             0  fio      [unknown]         [.] 0x00000000217da406
     0.00%     0.00%             0  fio      [unknown]         [.] 0x00000000199594a4
     0.00%     0.00%             0  fio      [unknown]         [k] 0x000000001cc729a8
     0.00%     0.00%             0  fio      [unknown]         [.] 0x000000001e829b4f
     0.00%     0.00%             0  fio      [unknown]         [k] 0x000000001223d891
     0.00%     0.00%             0  fio      [unknown]         [.] 0x00000000335f793c
     0.00%     0.00%             0  fio      [unknown]         [k] 0x000000001e7f0a83
     0.00%     0.00%             0  fio      [unknown]         [k] 0x000055f04d5d1cc0
     0.00%     0.00%             0  fio      [unknown]         [.] 0x0000000015455940
     0.00%     0.00%             0  fio      [unknown]         [.] 0x0000000006104da1
     0.00%     0.00%             0  fio      [unknown]         [.] 0x0000000005799f40
     0.00%     0.00%             0  fio      [unknown]         [.] 0x0000000035291f3b
     0.00%     0.00%             0  fio      [unknown]         [.] 0x000000000afa5d45
     0.00%     0.00%             0  fio      [unknown]         [.] 0x0000000004ba071c
     0.00%     0.00%             0  fio      [unknown]         [.] 0x0000000039c34d77
     0.00%     0.00%             0  fio      [unknown]         [.] 0x00000000090b39fc
     0.00%     0.00%             0  fio      [unknown]         [.] 0x000000001bcf76d7
     0.00%     0.00%             0  fio      [unknown]         [.] 0x000000001de7dee0
     0.00%     0.00%             0  fio      [unknown]         [.] 0x000000002c0d9f43
     0.00%     0.00%             0  fio      [unknown]         [k] 0x0000000004927d63
     0.00%     0.00%             0  fio      [unknown]         [k] 0x00000000057a4633
     0.00%     0.00%             0  fio      [unknown]         [k] 0x0000000034434be8
     0.00%     0.00%             0  fio      [unknown]         [.] 0x0000000011669fe9
     0.00%     0.00%             0  fio      [unknown]         [.] 0x0000000035e715de
     0.00%     0.00%             0  fio      [unknown]         [.] 0x000000000f6fa99b
     0.00%     0.00%             0  fio      [unknown]         [.] 0x0000000023b95bad
     0.00%     0.00%             0  fio      [unknown]         [.] 0x000000001baccbfb
     0.00%     0.00%             0  fio      [unknown]         [.] 0x0000000014128b2e
     0.00%     0.00%             0  fio      [unknown]         [.] 0x000000001412efd7
     0.00%     0.00%             0  fio      [unknown]         [.] 0x000000001e7fb8a8
     0.00%     0.00%             0  fio      [unknown]         [k] 0x00000000280b050b
     0.00%     0.00%             0  fio      [unknown]         [.] 0x00000000397863f1
     0.00%     0.00%             0  fio      [unknown]         [.] 0x0000000005366897
     0.00%     0.00%             0  fio      [unknown]         [.] 0x00000000054fa533
     0.00%     0.00%             0  fio      [unknown]         [.] 0x000000002e024a50
     0.00%     0.00%             0  fio      [unknown]         [k] 0x0000000013b7f07a
     0.00%     0.00%             0  fio      [unknown]         [.] 0x000000000efdd26f
     0.00%     0.00%             0  fio      [unknown]         [k] 0x000000001ef222ff
     0.00%     0.00%             0  fio      [unknown]         [.] 0x000000001dc2456d
     0.00%     0.00%             0  fio      [unknown]         [.] 0x000000000b483e99
     0.00%     0.00%             0  fio      [unknown]         [.] 0x000000000e8f2823
     0.00%     0.00%             0  fio      [unknown]         [k] 0x0000000011b3c7ac
     0.00%     0.00%             0  fio      [unknown]         [.] 0x000000002f0be63a
     0.00%     0.00%             0  fio      [unknown]         [.] 0x0000000038b6a191
     0.00%     0.00%             0  fio      [unknown]         [k] 0x00000000033d1717
     0.00%     0.00%             0  fio      [unknown]         [.] 0x0000000035245b56
     0.00%     0.00%             0  fio      [kernel.vmlinux]  [k] __x64_sys_pselect6
     0.00%     0.00%             0  fio      [kernel.vmlinux]  [k] core_sys_select
     0.00%     0.00%             0  fio      [kernel.vmlinux]  [k] do_pselect.constprop.0
     0.00%     0.00%             0  fio      [kernel.vmlinux]  [k] do_select
     0.00%     0.00%             0  fio      [kernel.vmlinux]  [k] schedule_hrtimeout_range
     0.00%     0.00%             0  fio      [kernel.vmlinux]  [k] schedule_hrtimeout_range_clock
     0.00%     0.00%             0  fio      libc.so.6         [.] __select
     0.00%     0.00%             0  fio      [unknown]         [.] 0x0000000001cb9200
     0.00%     0.00%             0  fio      [unknown]         [.] 0x000000003a11f787
     0.00%     0.00%             0  fio      [unknown]         [k] 0x000000001ef41aca
     0.00%     0.00%             0  fio      [unknown]         [k] 0x000000000684b4d5
     0.00%     0.00%             0  fio      [unknown]         [.] 0x000000000e9070e2
     0.00%     0.00%             0  fio      [unknown]         [k] 0x0000000031969376
     0.00%     0.00%             0  fio      [unknown]         [.] 0x000000000658cabb
     0.00%     0.00%             0  fio      [unknown]         [.] 0x000000002ebf827e
     0.00%     0.00%             0  fio      [unknown]         [.] 0x0000000033830290
     0.00%     0.00%             0  fio      [unknown]         [.] 0x000000003848dac9
     0.00%     0.00%             0  fio      [unknown]         [k] 0x0000000012959afc
     0.00%     0.00%             0  fio      [unknown]         [.] 0x00000000003c4e0b
     0.00%     0.00%             0  fio      [unknown]         [k] 0x000000001cde68fa
     0.00%     0.00%             0  fio      [unknown]         [.] 0x0000000022831de6
     0.00%     0.00%             0  fio      [unknown]         [.] 0x0000000028c901ca
     0.00%     0.00%             0  fio      [unknown]         [.] 0x0000000005759677
     0.00%     0.00%             0  fio      [unknown]         [k] 0x000000001a7adfed
     0.00%     0.00%             0  fio      [unknown]         [.] 0x0000000015b51440
     0.00%     0.00%             0  fio      [unknown]         [.] 0x00000000249cb5f0
     0.00%     0.00%             0  fio      [unknown]         [.] 0x000000001949bfeb
     0.00%     0.00%             0  fio      [unknown]         [k] 0x000000002fefa144
     0.00%     0.00%             0  fio      [unknown]         [k] 0x0000000021a1182a
     0.00%     0.00%             1  fio      [kernel.vmlinux]  [k] __switch_to_asm
     0.00%     0.00%             0  fio      [unknown]         [.] 0x0000000031963593
     0.00%     0.00%             0  fio      [unknown]         [.] 0x000000000e8ca210
     0.00%     0.00%             0  fio      [unknown]         [.] 0x0000000029892d01
     0.00%     0.00%             0  fio      [unknown]         [.] 0x000000000dd25a7c
     0.00%     0.00%             0  fio      [unknown]         [k] 0x0000000038939152
     0.00%     0.00%             0  fio      [unknown]         [k] 0x0000000032c86252
     0.00%     0.00%             0  fio      [unknown]         [.] 0x00000000135423c5
     0.00%     0.00%             0  fio      [unknown]         [.] 0x000000000d5d65a8
     0.00%     0.00%             0  fio      [unknown]         [k] 0x000000001d29c851
     0.00%     0.00%             0  fio      [unknown]         [k] 0x0000000020e4eb89
     0.00%     0.00%             0  fio      [unknown]         [k] 0x000000000bb96da9
     0.00%     0.00%             0  fio      [unknown]         [.] 0x000000003b1afac0
     0.00%     0.00%             0  fio      [unknown]         [k] 0x0000000023435c00
     0.00%     0.00%             1  fio      [kernel.vmlinux]  [k] put_cpu_partial
     0.00%     0.00%             0  fio      [unknown]         [.] 0x0000000000fff54d
     0.00%     0.00%             0  fio      [unknown]         [.] 0x0000000024763448
     0.00%     0.00%             0  fio      [unknown]         [.] 0x000000001aeda9a9
     0.00%     0.00%             0  fio      [unknown]         [k] 0x000000001bab0dff
     0.00%     0.00%             0  fio      [unknown]         [.] 0x000000002916ad8d
     0.00%     0.00%             0  fio      [unknown]         [.] 0x0000000001e49624
     0.00%     0.00%             0  fio      [unknown]         [.] 0x00000000338274b6
     0.00%     0.00%             0  fio      [unknown]         [k] 0x000000000a3d0ae8
     0.00%     0.00%             0  fio      [unknown]         [.] 0x000000001aef5213
     0.00%     0.00%             0  fio      [unknown]         [k] 0x000000002e711f91
     0.00%     0.00%             0  fio      [unknown]         [.] 0x000000002b9e01ca
     0.00%     0.00%             0  fio      [unknown]         [.] 0x00000000367ce846
     0.00%     0.00%             0  fio      [unknown]         [.] 0x0000000026d9b425
     0.00%     0.00%             0  fio      [unknown]         [k] 0x000000002796d003
     0.00%     0.00%             0  fio      [unknown]         [.] 0x000000000f9bf97d
     0.00%     0.00%             0  fio      [unknown]         [.] 0x000000003848b94e
     0.00%     0.00%             0  fio      [unknown]         [.] 0x000000000bbd5431
     0.00%     0.00%             0  fio      [unknown]         [.] 0x00000000151acd11
     0.00%     0.00%             0  fio      [unknown]         [.] 0x00000000354a0bf3
     0.00%     0.00%             0  fio      [unknown]         [.] 0x000000003aaa6793
     0.00%     0.00%             0  fio      [unknown]         [.] 0x0000000020e4e9d1
     0.00%     0.00%             0  fio      [unknown]         [.] 0x0000000019c69edb
     0.00%     0.00%             0  fio      [unknown]         [.] 0x00000000319041ab
     0.00%     0.00%             0  fio      [unknown]         [.] 0x0000000007dc81cc
     0.00%     0.00%             0  fio      [unknown]         [.] 0x0000000020e5ca2d
     0.00%     0.00%             0  fio      [unknown]         [.] 0x000000001354b664
     0.00%     0.00%             0  fio      [unknown]         [.] 0x0000000026d9040e
     0.00%     0.00%             0  fio      [unknown]         [.] 0x0000000006aa74fa
     0.00%     0.00%             0  fio      [unknown]         [k] 0x000000001949b7df
     0.00%     0.00%             0  fio      [unknown]         [k] 0x000000001a549d7a
     0.00%     0.00%             0  fio      [unknown]         [.] 0x000000002e737099
     0.00%     0.00%             0  fio      [unknown]         [k] 0x000000002ccf06c8
     0.00%     0.00%             0  fio      [unknown]         [.] 0x000000000d5ce650
     0.00%     0.00%             0  fio      [unknown]         [.] 0x00000000107c3e90
     0.00%     0.00%             0  fio      [unknown]         [.] 0x000000001df3f668
     0.00%     0.00%             0  fio      [unknown]         [.] 0x000000000efe2ad5
     0.00%     0.00%             0  fio      [unknown]         [k] 0x0000000023de0502
     0.00%     0.00%             0  fio      [unknown]         [k] 0x00000000285870bb
